mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0022380828857421877,0.000382005595289965,0.0036915302276611327,0.0005117849835647591,1,1,"{'n_neighbors': 1, 'p': 1}",0.8095238095238095,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9238095238095239,0.05714285714285712,61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.001419210433959961,0.0004653623005984981,0.002390432357788086,0.0006366777769848084,1,2,"{'n_neighbors': 1, 'p': 2}",0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,0.9428571428571428,0.04665694748158435,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0011508464813232422,0.00023408018175370926,0.00249629020690918,0.00034869019678222113,2,1,"{'n_neighbors': 2, 'p': 1}",0.8095238095238095,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8952380952380953,0.04665694748158433,94,0.9880952380952381,0.9642857142857143,0.9523809523809523,0.9523809523809523,0.9285714285714286,0.9571428571428573,0.019342948582466584
0.0018169879913330078,0.00047961119551359426,0.0022399425506591797,0.0003901823884810113,2,2,"{'n_neighbors': 2, 'p': 2}",0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9238095238095239,0.038095238095238085,61,0.9880952380952381,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9523809523809523,0.9666666666666668,0.011664236870396113
0.0013847827911376953,0.0004721941299877911,0.0023431777954101562,0.00027396990043374774,3,1,"{'n_neighbors': 3, 'p': 1}",0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9333333333333333,0.03809523809523809,51,0.9761904761904762,0.9523809523809523,0.9404761904761905,0.9523809523809523,0.9404761904761905,0.9523809523809523,0.013041013273932521
0.0016231536865234375,0.0005616114081985368,0.002475452423095703,0.0008834131998853924,3,2,"{'n_neighbors': 3, 'p': 2}",0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9333333333333333,0.03809523809523809,51,0.9761904761904762,0.9523809523809523,0.9404761904761905,0.9523809523809523,0.9285714285714286,0.95,0.015793451382644742
0.002300453186035156,0.0002006236683033205,0.0025580406188964845,0.0004965554547720544,4,1,"{'n_neighbors': 4, 'p': 1}",0.8571428571428571,0.9523809523809523,1.0,0.9047619047619048,0.9047619047619048,0.9238095238095237,0.04856209060564558,66,0.9642857142857143,0.9642857142857143,0.9404761904761905,0.9404761904761905,0.9285714285714286,0.9476190476190476,0.014285714285714285
0.0009918212890625,0.0007218420843892802,0.0024285316467285156,0.000678589320398165,4,2,"{'n_neighbors': 4, 'p': 2}",0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9142857142857143,0.03563483225498991,74,0.9761904761904762,0.9642857142857143,0.9523809523809523,0.9523809523809523,0.9285714285714286,0.9547619047619047,0.01579345138264475
0.0015325069427490235,0.00047753834191861084,0.002342510223388672,0.0005847196165785365,5,1,"{'n_neighbors': 5, 'p': 1}",0.8571428571428571,0.9523809523809523,1.0,0.9523809523809523,0.9523809523809523,0.9428571428571428,0.04665694748158436,25,0.9880952380952381,0.9761904761904762,0.9404761904761905,0.9404761904761905,0.9523809523809523,0.9595238095238097,0.019342948582466588
0.001363372802734375,0.00030120533980896664,0.0019895076751708985,0.00011990293873167089,5,2,"{'n_neighbors': 5, 'p': 2}",0.9047619047619048,0.9523809523809523,1.0,0.9523809523809523,0.9047619047619048,0.9428571428571428,0.03563483225498991,25,0.9880952380952381,0.9761904761904762,0.9523809523809523,0.9404761904761905,0.9523809523809523,0.961904761904762,0.017496355305594152
0.0018937110900878907,0.0008399832881074926,0.0023018360137939454,0.0007889143408712296,6,1,"{'n_neighbors': 6, 'p': 1}",0.9047619047619048,0.9523809523809523,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.030116930096841705,11,0.9642857142857143,0.9642857142857143,0.9404761904761905,0.9523809523809523,0.9523809523809523,0.9547619047619047,0.008908708063747495
0.0013085365295410155,0.00040633978854049595,0.0024074554443359376,0.0003982451225896861,6,2,"{'n_neighbors': 6, 'p': 2}",0.9047619047619048,0.9523809523809523,1.0,0.9523809523809523,0.9047619047619048,0.9428571428571428,0.03563483225498991,25,0.9761904761904762,0.9761904761904762,0.9523809523809523,0.9404761904761905,0.9523809523809523,0.9595238095238094,0.014285714285714285
0.0016283035278320313,0.0004942443850344373,0.001818084716796875,0.00040784873658215176,7,1,"{'n_neighbors': 7, 'p': 1}",0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,0.030116930096841705,11,0.9761904761904762,0.9761904761904762,0.9523809523809523,0.9523809523809523,0.9642857142857143,0.9642857142857142,0.01064794274999901
0.001605653762817383,0.0004997221704557122,0.0019029140472412109,0.0009207906726178266,7,2,"{'n_neighbors': 7, 'p': 2}",0.9047619047619048,0.9523809523809523,0.9523809523809523,1.0,0.9047619047619048,0.9428571428571428,0.03563483225498991,25,0.9880952380952381,0.9761904761904762,0.9761904761904762,0.9642857142857143,0.9642857142857143,0.9738095238095239,0.008908708063747484
